,brand,title,price
93,Lunar,Large 35 L Backpack V Line - 3 Compartment College | School Bag,₹799
94,PROVOGUE,Large 45 L Laptop Backpack JERSEY,₹944
95,Gear,Medium 27 L Backpack ECO 6 Backpack with Raincover,₹849
96,AMERICAN TOURISTER,32.5 L Backpack Fizz Sch Bag,"₹1,175"
97,AMERICAN TOURISTER,32.5 L Backpack Fizz Sch Bag,"₹1,269"
98,Carriway,Medium 30 L Laptop Backpack Storm Buster CRW10,₹599
99,Isparro,Large 35 L Laptop Backpack Stylish Light Weight Backpack,₹568
100,Gear,Small 16 L Backpack Carry On,₹260
101,Wildcraft,Medium 30 L Laptop Backpack Seek,"₹1,091"
102,Wildcraft,Large 43 L Laptop Backpack Daredevil,"₹1,309"
103,PROVOGUE,Large 35 L Laptop Backpack Spacy unisex backpack with rain cover and reflective strip,₹756
104,GOOD FRIENDS,Medium 21 L Laptop Backpack Boy's and Girl's Tuff College School Casual Backpack Bags,₹399
105,urban carrier,Large 45 L Laptop Backpack Cord Maity MRC Premium High Quality Large 45 Laptop Backpack Large 45L Unisex Laptop Backpack Girls & Boys School Bag College Bag Medium Backpack,₹549
106,Lunar,"Large 35 L Laptop Backpack High Quality 30L Laptop Bag upto 15.6"" Laptop with Rain Cover and Internal Organiser for Office/School/College/Travel",₹849
107,HEROZ,Large 45 L Laptop Backpack HAMMER,"₹1,345"
108,SAFARI,Medium 29 L Laptop Backpack SPREEUSB 19 CASUAL BACKPACK GREY,₹959
109,MegaStar,Large 45 L Laptop Backpack Ultimate 45L Premium Quality Hi Storage Travel Laptop Backpack With IPX4 Water Resistant And Up To 17.3 Inch Laptop With Rain Cover And Internal Organiser For Office/School/College/Travel,"₹1,299"
110,SAFARI,Large 36 L Backpack Chalkboard School/College Casual,"₹1,309"
111,Gear,Small 20 L Laptop Backpack PU LAPTOP BACKPACK,"₹1,123"
112,SKYBAGS,Large 32 L Backpack NEW NEON 18 SCHOOL BAG (H) BLUE,₹829
113,SKYBAGS,Medium 30 L Laptop Backpack Campus Plus 03,"₹1,552"
114,Mi,Small 12 L Backpack Step Out 12 liters Water Repellent Backpack,₹349
115,WROGN,Large 35 L Laptop Backpack ARC backpack Unisex with Rain Cover,"₹1,139"
116,Gear,Medium 28 L Laptop Backpack VINTAGE2 ANTI THEFT FAUX LEATHER,"₹1,079"
117,MTROCRAFT,Medium 30 L Laptop Backpack MATRIX,₹449
118,PROVOGUE,"Large 48 L Laptop Backpack Bingo -3 Compartment Premium Quality, Office/College/School Laptop Bag for upto 15.6” Laptop with internal organiser",₹899
119,PROVOGUE,Large 35 L Laptop Backpack Spacy unisex backpack with rain cover and reflective strip,₹799
